,product_name,Flipkart_price
0,RST HOME Printed Desktop 3 in 1 DustProof Cover 19 Inch Desktop CPU Keyboard Cover. for 19 inch printed  - Rj-Grey-1,"<div class=""_30jeq3"">₹399</div>"
1,Etake High Performance Thermal Grease Paste Carbon Based Thermal Paste,"<div class=""_30jeq3"">₹199</div>"
2,"Mexico DC FAN - 80X80X25MM (12V) Pack of 2 for PC Case, CPU Cooler Radiator Cooler","<div class=""_30jeq3"">₹143</div>"
3,Frontech JIL-2430 800 Watts PSU,"<div class=""_30jeq3"">₹1,190</div>"
4,SHIVMEDICOS USB Bulb With 5 Volts 5 Watts USB Tube Light High Brightness Along with 6 Feet Long Cable (White) - Combo Pack Usb Tube & Usb Bulb USB Cable,"<div class=""_30jeq3"">₹299</div>"
5,amenity Silicone Heatsink Compounds Cooling Processor CPU Graphics Carbon Based Thermal Paste (10 g 1.93 W/mK) Carbon Based Thermal Paste,"<div class=""_30jeq3"">₹169</div>"
6,"UTSAV SALES DESKTOP COVER FULL SET 24INCH for 24 inch MONITER ,KEYBOARD,CPU  - DESKTOP COVER FULL SET 24INCH","<div class=""_30jeq3"">₹434</div>"
7,atekt Intel i3/i5/i7 LGA1150 CPU Cooler (Black) Cooler,"<div class=""_30jeq3"">₹279</div>"
8,OSSDEN USB Bulb With 5 Volts 5 Watts USB Tube Light High Brightness Along with 6 Feet Long Cable (White) - Combo Pack USB Bulb For Tube Light USB Cable,"<div class=""_30jeq3"">₹284</div>"
9,hackcept Intel Stock Fan | CPU Cooling Fan with Aluminium Heatsink | Socket LGA 1155/1150/ 1156 | Cooler,"<div class=""_30jeq3"">₹320</div>"
10,"US1984 120 Auto RGB Fans 120mm RGB Case Fans, Dual Light Loop RGB LED Fans, RGB Gaming PC Fans, Quiet Cooling Computer Fans Cooler","<div class=""_30jeq3"">₹538</div>"
11,"UTSAV SALES DESKTOP COVER for 22 inch DESKTOP COVER FULL SET 22 INCH COVER MONITER,KEYBOARD,CPU  - 22 INCH DESKTOP COVER FULL SET","<div class=""_30jeq3"">₹422</div>"
12,Intel Genuine CPU FAN for Corei3/15/17 CPUs Cooler,"<div class=""_30jeq3"">₹334</div>"
