,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
0,RST HOME Printed Desktop 3 in 1 DustProof Cover 19 Inch Desktop CPU Keyboard Cover. for 19 inch printed  - Rj-Grey-1,399,No similar product,0
1,Etake High Performance Thermal Grease Paste Carbon Based Thermal Paste,199,No similar product,0
2,"Mexico DC FAN - 80X80X25MM (12V) Pack of 2 for PC Case, CPU Cooler Radiator Cooler",143,No similar product,0
3,Frontech JIL-2430 800 Watts PSU,"1,190",No similar product,0
4,SHIVMEDICOS USB Bulb With 5 Volts 5 Watts USB Tube Light High Brightness Along with 6 Feet Long Cable (White) - Combo Pack Usb Tube & Usb Bulb USB Cable,299,No similar product,0
5,amenity Silicone Heatsink Compounds Cooling Processor CPU Graphics Carbon Based Thermal Paste (10 g 1.93 W/mK) Carbon Based Thermal Paste,169,No similar product,0
6,"UTSAV SALES DESKTOP COVER FULL SET 24INCH for 24 inch MONITER ,KEYBOARD,CPU  - DESKTOP COVER FULL SET 24INCH",434,No similar product,0
7,atekt Intel i3/i5/i7 LGA1150 CPU Cooler (Black) Cooler,279,No similar product,0
8,OSSDEN USB Bulb With 5 Volts 5 Watts USB Tube Light High Brightness Along with 6 Feet Long Cable (White) - Combo Pack USB Bulb For Tube Light USB Cable,284,No similar product,0
9,hackcept Intel Stock Fan | CPU Cooling Fan with Aluminium Heatsink | Socket LGA 1155/1150/ 1156 | Cooler,320,No similar product,0
10,"US1984 120 Auto RGB Fans 120mm RGB Case Fans, Dual Light Loop RGB LED Fans, RGB Gaming PC Fans, Quiet Cooling Computer Fans Cooler",538,No similar product,0
11,"UTSAV SALES DESKTOP COVER for 22 inch DESKTOP COVER FULL SET 22 INCH COVER MONITER,KEYBOARD,CPU  - 22 INCH DESKTOP COVER FULL SET",422,No similar product,0
12,Intel Genuine CPU FAN for Corei3/15/17 CPUs Cooler,334,No similar product,0
13,ZEBRONICS CPU Cooling Fan ZEB-LGA775 Cooler,335,No similar product,0
14,Electronic Spices DC 12V Cooling Fan for PC Case CPU Cooler Radiator WITH (JST CONNECTOR) Cooler,127,No similar product,0
15,ELECTRO WOLF 12V Extruded Aluminum Heatsink CPU Silent Cooling Fan Hydraulic Bearing 2200RPM Cooler,449,No similar product,0
16,artis Z200 Full Tower Cabinet,"3,899",No similar product,0
17,Corsair SPEC-01 Red LED Mid-Tower Cabinet,"3,399",No similar product,0
18,Frontech PS-0006 800 Watts PSU,"1,190",No similar product,0
19,M MOD CON Carbon Based Thermal Paste,117,No similar product,0
20,Electronic Spices DC 12V MOLEX 2PIN CONNECTOR Cooling Fan for PC Case CPU Radiator Cooler Cooler,149,No similar product,0
21,Thermaltake CPU COOLER LIQUID TH240-ARGB Cooler,"7,800",No similar product,0
22,"Welzivs Cabinet Fan 3-Inch Square 12 V DC CPU Cooling fan Cooler (Black), CPU Cooler Radiator Cooler",159,No similar product,0
23,Etake Silicone Heatsink Compounds Cooling Processor CPU Graphics Carbon Based Thermal Paste,179,No similar product,0
24,"HexaGear Intel Stock Fan | CPU Cooling Fan with Aluminium, Aluminum Heatsink | For Socket LGA 1155/1150/ 1156 | compatible Cooler for i3, i5, i7 processor (Black) Cooler",449,No similar product,0
25,Frontech CPU COOLING FAN Socket LGA1155 ( For Intl i3/i5/i7 2nd / 3rd gen CPU) Cooler,299,No similar product,0
26,SilverStone SST-KR03 Cooler,899,No similar product,0
27,"Electronic Spices 12V DC 4.75 INCH Cooling Fan With molex connector For PC case, CPU cooler Cooler",249,No similar product,0
28,ASUS ROG STRIX B550-F GAMING Motherboard,"19,049",No similar product,0
29,Electronic Spices White Thermal Conductive Grease Paste for CPU GPU Chipset Cooling 10G Carbon Based Thermal Paste,99,No similar product,0
30,"Electronic Spices 10g Thermal Paste Heat Sink Compound/Grease for CPU Fan, White Carbon Based Thermal Paste",89,No similar product,0
31,NUBWO NFT-100 RED COLOUR LED FAN 120MM Cooler,489,No similar product,0
32,"Electronic Spices DC 12V 2'' INCH Cooling Fan for PC Case, CPU Cooler Radiator 20 x 20 x 11 (Black) Cooler",139,No similar product,0
33,"TetraClean Heat Sink Paste | Thermal Paste | Grease | White Thermal Paste Compound | Used for PC, CPU, GPU, Chipset, and for Ovens Cooling Carbon Based Thermal Paste",299,"TETRACLEAN HEAT SINK PASTE | THERMAL PASTE | HEAT SINK GREASE | WHITE THERMAL PASTE HIGH TEMPERATURE COMPOUND | USED FOR PC, CPU, GPU, CHIPSET, AND FOR OVENS COOLING / 50GM","1,299"
34,samest (Pack of 5) 3 Inches CPU Cooler Radiator Fan SM012 Cooler,349,"SAMEST (PACK OF 1) 12V 3 INCH DC COOLING FAN FOR PC CASE,CPU COOLER BLACK (80X80) MM COOLER (BLACK)",189
35,COOLER MASTER MasterLiquid ML240R RGB CPU Liquid Cooler,"9,999",No similar product,0
36,"samest 12v 3Inch DC Cooling Fan for Pc Case, CPU Cooler (Black, 80X80 mm) - 5 Pieces Cooler",299,No similar product,0
37,"Electronic Spices PC Cooling Fan With USB Connector For PC case, CPU cooler 4.75 INCH, Black Cooler",249,No similar product,0
38,"UTSAV SALES DESKTOP COVER FULL SET for 24 inch MONITER 19 INCH, 22 INCH, 24INCH COVER AND KEYBOARD COVER ALL CPU COVER  - DESKTOP COVER FULL SET",411,No similar product,0
39,NUBWO NFT-100 WHITE COLOUR LED FAN 120MM Cooler,489,No similar product,0
